,estimated,correct,approx_estimated,approx_estimated2,same_cluster,len
959,0.032774122807017546,0.03434006658128963,0.039608409274754154,0.03600095755442659,0.0,3
960,1.288137368153149e-08,1.8404629566499095e-08,2.2022028264195647e-08,1.4224890818234897e-08,0.0,9
961,0.03675,0.03885562333638472,0.04507735281478298,0.03825101740157825,0.0,3
962,1.9107879241410146e-05,2.37792102241712e-05,2.6672842178940458e-05,2.2242157437986986e-05,0.0,6
963,1.6153417897657596e-13,2.4390742371694623e-13,2.7989333961831957e-13,1.67196072217349e-13,0.0,14
964,1.9033623165738146e-06,2.4245943345367407e-06,2.8628686709274018e-06,2.14662908845377e-06,0.0,7
965,0.00281046800403588,0.0031859189613131942,0.003524156028451666,0.0033125468733747805,0.0,4
966,3.648917069334635e-08,4.7541995992452005e-08,6.682755868874482e-08,3.695225007880563e-08,0.0,9
967,9.881323972571474e-11,1.4232337925345667e-10,1.9132563920792497e-10,1.058401549975287e-10,0.0,11
968,2.4722468966288177e-07,3.2714777038145586e-07,4.0758657731642984e-07,2.642239629751423e-07,0.0,8
969,0.0005720224818955052,0.0006800577163945703,0.000825946404269464,0.0005689149856805274,0.0,5
970,3.993323110593499e-08,5.515081831469101e-08,7.401816015238752e-08,4.069179597699145e-08,0.0,9
971,6.896742276968305e-13,1.0047053838632134e-12,1.2687349664107157e-12,7.266291707068981e-13,0.0,13
972,8.886271873657825e-12,1.2651926415168906e-11,1.723127821611236e-11,9.415634120569843e-12,0.0,12
